observation_date,M09028USM474NNBR
1921-02-01,1435
1921-03-01,1500
1921-04-01,1410
1921-05-01,1326
1921-06-01,1388
1921-07-01,1491
1921-08-01,1642
1921-09-01,1618
1921-10-01,1809
1921-11-01,1970
1921-12-01,2427
1922-01-01,2722
1922-02-01,2072
1922-03-01,2297
1922-04-01,1954
1922-05-01,1775
1922-06-01,1660
1922-07-01,1575
1922-08-01,1675
1922-09-01,1460
1922-10-01,1602
1922-11-01,1761
1922-12-01,1862
1923-01-01,2203
1923-02-01,1563
1923-03-01,1677
1923-04-01,1637
1923-05-01,1470
1923-06-01,1366
1923-07-01,1405
1923-08-01,1440
1923-09-01,1279
1923-10-01,1608
1923-11-01,1653
1923-12-01,1858
1924-01-01,2231
1924-02-01,1572
1924-03-01,1657
1924-04-01,1726
1924-05-01,1739
1924-06-01,1570
1924-07-01,1548
1924-08-01,1432
1924-09-01,1277
1924-10-01,1578
1924-11-01,1471
1924-12-01,1911
1925-01-01,2340
1925-02-01,1654
1925-03-01,1654
1925-04-01,1667
1925-05-01,1572
1925-06-01,1437
1925-07-01,1451
1925-08-01,1353
1925-09-01,1234
1925-10-01,1407
1925-11-01,1462
1925-12-01,1628
1926-01-01,2083
1926-02-01,1669
1926-03-01,1888
1926-04-01,1741
1926-05-01,1635
1926-06-01,1577
1926-07-01,1656
1926-08-01,1512
1926-09-01,1250
1926-10-01,1420
1926-11-01,1614
1926-12-01,1979
1927-01-01,2227
1927-02-01,1855
1927-03-01,1882
1927-04-01,1659
1927-05-01,1617
1927-06-01,1688
1927-07-01,1527
1927-08-01,1448
1927-09-01,1417
1927-10-01,1471
1927-11-01,1656
1927-12-01,1820
1928-01-01,2180
1928-02-01,1882
1928-03-01,2001
1928-04-01,1672
1928-05-01,1723
1928-06-01,1639
1928-07-01,1455
1928-08-01,1543
1928-09-01,1348
1928-10-01,1689
1928-11-01,1568
1928-12-01,1673
1929-01-01,2184
1929-02-01,1737
1929-03-01,1704
1929-04-01,1735
1929-05-01,1724
1929-06-01,1482
1929-07-01,1570
1929-08-01,1350
1929-09-01,1318
1929-10-01,1543
1929-11-01,1529
1929-12-01,1827
1930-01-01,2376
1930-02-01,2144
