observation_date,M11005USM293NNBR
1855-01-01,18.64
1855-02-01,20.37
1855-03-01,21.22
1855-04-01,22.00
1855-05-01,21.91
1855-06-01,22.52
1855-07-01,23.37
1855-08-01,22.97
1855-09-01,23.46
1855-10-01,22.59
1855-11-01,19.90
1855-12-01,21.22
1856-01-01,21.93
1856-02-01,20.89
1856-03-01,22.28
1856-04-01,22.12
1856-05-01,22.35
1856-06-01,22.19
1856-07-01,22.12
1856-08-01,21.57
1856-09-01,20.68
1856-10-01,20.61
1856-11-01,19.80
1856-12-01,21.27
1857-01-01,21.22
1857-02-01,20.83
1857-03-01,20.82
1857-04-01,20.41
1857-05-01,20.10
1857-06-01,18.87
1857-07-01,18.61
1857-08-01,17.70
1857-09-01,15.14
1857-10-01,12.83
1857-11-01,14.65
1857-12-01,15.27
1858-01-01,15.69
1858-02-01,17.16
1858-03-01,17.45
1858-04-01,16.56
1858-05-01,16.82
1858-06-01,16.10
1858-07-01,16.17
1858-08-01,15.98
1858-09-01,15.78
1858-10-01,16.25
1858-11-01,16.16
1858-12-01,15.88
1859-01-01,15.93
1859-02-01,15.73
1859-03-01,15.66
1859-04-01,15.28
1859-05-01,14.80
1859-06-01,14.91
1859-07-01,14.98
1859-08-01,15.10
1859-09-01,15.70
1859-10-01,15.40
1859-11-01,15.57
1859-12-01,15.43
1860-01-01,15.11
1860-02-01,15.21
1860-03-01,15.85
1860-04-01,16.68
1860-05-01,16.97
1860-06-01,17.20
1860-07-01,17.73
1860-08-01,18.81
1860-09-01,19.28
1860-10-01,18.62
1860-11-01,16.57
1860-12-01,15.49
1861-01-01,17.09
1861-02-01,17.02
1861-03-01,17.41
1861-04-01,16.09
1861-05-01,14.86
1861-06-01,15.01
1861-07-01,15.63
1861-08-01,15.30
1861-09-01,15.27
1861-10-01,15.86
1861-11-01,16.06
1861-12-01,15.59
1862-01-01,16.54
1862-02-01,17.12
1862-03-01,17.65
1862-04-01,17.51
1862-05-01,18.34
1862-06-01,19.23
1862-07-01,18.80
1862-08-01,19.44
1862-09-01,20.83
1862-10-01,22.89
1862-11-01,23.08
1862-12-01,23.54
1863-01-01,26.60
1863-02-01,27.53
1863-03-01,27.04
1863-04-01,27.36
1863-05-01,29.96
1863-06-01,29.01
1863-07-01,29.69
1863-08-01,31.79
1863-09-01,31.83
1863-10-01,32.69
1863-11-01,32.78
1863-12-01,32.49
1864-01-01,33.86
1864-02-01,35.48
1864-03-01,37.99
1864-04-01,38.68
1864-05-01,36.99
1864-06-01,37.69
1864-07-01,37.34
1864-08-01,37.62
1864-09-01,35.42
1864-10-01,33.14
1864-11-01,34.88
1864-12-01,34.58
1865-01-01,32.93
1865-02-01,32.16
1865-03-01,29.17
1865-04-01,28.75
1865-05-01,29.39
1865-06-01,28.83
1865-07-01,30.07
1865-08-01,29.73
1865-09-01,30.95
1865-10-01,31.84
1865-11-01,32.12
1865-12-01,31.65
1866-01-01,30.20
1866-02-01,29.44
1866-03-01,29.54
1866-04-01,30.03
1866-05-01,30.65
1866-06-01,31.05
1866-07-01,31.59
1866-08-01,32.80
1866-09-01,32.95
1866-10-01,33.95
1866-11-01,33.45
1866-12-01,32.78
1867-01-01,31.51
1867-02-01,31.22
1867-03-01,31.01
1867-04-01,30.33
1867-05-01,30.68
1867-06-01,31.74
1867-07-01,32.88
1867-08-01,33.03
1867-09-01,32.98
1867-10-01,32.91
1867-11-01,32.81
1867-12-01,33.29
1868-01-01,34.50
1868-02-01,35.30
1868-03-01,35.12
1868-04-01,34.91
1868-05-01,36.12
1868-06-01,36.71
1868-07-01,36.72
1868-08-01,36.34
1868-09-01,36.66
1868-10-01,37.21
1868-11-01,36.16
1868-12-01,36.88
1869-01-01,38.23
1869-02-01,38.52
1869-03-01,38.23
1869-04-01,38.89
1869-05-01,40.59
1869-06-01,40.96
1869-07-01,40.87
1869-08-01,41.44
1869-09-01,38.75
1869-10-01,38.44
1869-11-01,38.16
1869-12-01,37.52
1870-01-01,38.07
1870-02-01,39.29
1870-03-01,39.05
1870-04-01,39.66
1870-05-01,41.22
1870-06-01,41.54
1870-07-01,40.27
1870-08-01,39.54
1870-09-01,39.89
1870-10-01,40.06
1870-11-01,40.06
1870-12-01,39.61
1871-01-01,39.70
1871-02-01,40.11
1871-03-01,40.97
1871-04-01,42.05
1871-05-01,43.00
1871-06-01,42.69
1871-07-01,41.91
1871-08-01,42.18
1871-09-01,42.38
1871-10-01,40.25
1871-11-01,40.58
1871-12-01,41.38
1872-01-01,42.29
1872-02-01,42.55
1872-03-01,43.87
1872-04-01,45.20
1872-05-01,45.03
1872-06-01,44.56
1872-07-01,44.19
1872-08-01,43.57
1872-09-01,43.03
1872-10-01,42.95
1872-11-01,42.68
1872-12-01,43.82
1873-01-01,44.25
1873-02-01,44.79
1873-03-01,44.42
1873-04-01,43.66
1873-05-01,43.73
1873-06-01,43.36
1873-07-01,43.21
1873-08-01,42.98
1873-09-01,39.74
1873-10-01,36.42
1873-11-01,35.11
1873-12-01,38.28
1874-01-01,40.36
1874-02-01,41.47
1874-03-01,40.73
1874-04-01,39.62
1874-05-01,38.60
1874-06-01,38.23
1874-07-01,38.29
1874-08-01,38.52
1874-09-01,39.09
1874-10-01,38.96
1874-11-01,39.05
1874-12-01,39.10
1875-01-01,39.41
1875-02-01,39.27
1875-03-01,39.64
1875-04-01,40.06
1875-05-01,38.33
1875-06-01,37.62
1875-07-01,37.65
1875-08-01,37.80
1875-09-01,37.42
1875-10-01,36.90
1875-11-01,37.38
1875-12-01,37.38
1876-01-01,38.29
1876-02-01,38.87
1876-03-01,39.02
1876-04-01,37.48
1876-05-01,35.93
1876-06-01,35.60
1876-07-01,35.22
1876-08-01,33.65
1876-09-01,31.71
1876-10-01,31.39
1876-11-01,30.72
1876-12-01,30.55
1877-01-01,30.29
1877-02-01,28.39
1877-03-01,27.05
1877-04-01,25.07
1877-05-01,24.99
1877-06-01,23.59
1877-07-01,24.39
1877-08-01,25.97
1877-09-01,27.70
1877-10-01,28.48
1877-11-01,27.97
1877-12-01,27.84
1878-01-01,27.84
1878-02-01,27.28
1878-03-01,27.75
1878-04-01,28.61
1878-05-01,28.62
1878-06-01,29.39
1878-07-01,29.91
1878-08-01,29.56
1878-09-01,30.20
1878-10-01,29.91
1878-11-01,29.80
1878-12-01,29.69
1879-01-01,31.15
1879-02-01,32.33
1879-03-01,31.66
1879-04-01,32.66
1879-05-01,34.33
1879-06-01,34.86
1879-07-01,35.46
1879-08-01,35.95
1879-09-01,37.25
1879-10-01,41.17
1879-11-01,43.28
1879-12-01,43.43
1880-01-01,45.26
1880-02-01,46.22
1880-03-01,46.97
1880-04-01,46.35
1880-05-01,42.59
1880-06-01,42.62
1880-07-01,44.61
1880-08-01,46.52
1880-09-01,46.49
1880-10-01,48.14
1880-11-01,51.12
1880-12-01,53.69
1881-01-01,56.38
1881-02-01,55.77
1881-03-01,56.51
1881-04-01,56.21
1881-05-01,58.51
1881-06-01,59.00
1881-07-01,56.80
1881-08-01,55.74
1881-09-01,56.12
1881-10-01,55.25
1881-11-01,55.61
1881-12-01,54.03
1882-01-01,53.12
1882-02-01,51.89
1882-03-01,51.64
1882-04-01,51.60
1882-05-01,50.98
1882-06-01,50.68
1882-07-01,53.68
1882-08-01,55.36
1882-09-01,55.86
1882-10-01,54.46
1882-11-01,52.18
1882-12-01,52.50
1883-01-01,52.35
1883-02-01,51.05
1883-03-01,51.73
1883-04-01,52.95
1883-05-01,51.88
1883-06-01,52.36
1883-07-01,51.40
1883-08-01,49.11
1883-09-01,49.72
1883-10-01,48.45
1883-11-01,49.10
1883-12-01,48.13
1884-01-01,46.74
1884-02-01,48.01
1884-03-01,47.85
1884-04-01,46.04
1884-05-01,42.26
1884-06-01,39.20
1884-07-01,40.31
1884-08-01,42.77
1884-09-01,41.17
1884-10-01,39.84
1884-11-01,38.93
1884-12-01,38.95
1885-01-01,38.12
1885-02-01,39.13
1885-03-01,39.29
1885-04-01,39.22
1885-05-01,38.63
1885-06-01,38.33
1885-07-01,39.98
1885-08-01,42.10
1885-09-01,41.55
1885-10-01,43.82
1885-11-01,46.61
1885-12-01,46.43
1886-01-01,46.64
1886-02-01,47.38
1886-03-01,46.60
1886-04-01,45.95
1886-05-01,45.10
1886-06-01,47.13
1886-07-01,47.84
1886-08-01,48.30
1886-09-01,49.45
1886-10-01,50.81
1886-11-01,51.88
1886-12-01,50.70
1887-01-01,50.11
1887-02-01,49.71
1887-03-01,50.85
1887-04-01,52.20
1887-05-01,53.06
1887-06-01,51.71
1887-07-01,50.38
1887-08-01,49.07
1887-09-01,48.43
1887-10-01,46.57
1887-11-01,47.26
1887-12-01,47.10
1888-01-01,47.32
1888-02-01,46.92
1888-03-01,45.16
1888-04-01,45.31
1888-05-01,45.88
1888-06-01,44.10
1888-07-01,45.40
1888-08-01,46.02
1888-09-01,47.32
1888-10-01,46.82
1888-11-01,45.39
1888-12-01,44.55
1889-01-01,45.19
1889-02-01,45.56
1889-03-01,44.31
1889-04-01,44.05
1889-05-01,45.21
1889-06-01,45.71
1889-07-01,44.54
1889-08-01,45.63
1889-09-01,47.20
1889-10-01,46.74
1889-11-01,46.68
1889-12-01,46.47
1890-01-01,46.93
1890-02-01,46.45
1890-03-01,46.14
1890-04-01,47.14
1890-05-01,49.03
1890-06-01,48.63
1890-07-01,48.14
1890-08-01,46.96
1890-09-01,46.07
1890-10-01,43.96
1890-11-01,41.11
1890-12-01,40.45
1891-01-01,42.32
1891-02-01,42.72
1891-03-01,41.76
1891-04-01,43.34
1891-05-01,43.30
1891-06-01,42.30
1891-07-01,41.81
1891-08-01,43.59
1891-09-01,47.45
1891-10-01,47.47
1891-11-01,46.50
1891-12-01,48.06
1892-01-01,48.62
1892-02-01,48.53
1892-03-01,49.14
1892-04-01,48.85
1892-05-01,48.68
1892-06-01,48.26
1892-07-01,48.32
1892-08-01,48.64
1892-09-01,47.08
1892-10-01,47.93
1892-11-01,47.39
1892-12-01,46.84
1893-01-01,47.70
1893-02-01,46.71
1893-03-01,45.12
1893-04-01,45.42
1893-05-01,42.14
1893-06-01,40.17
1893-07-01,36.58
1893-08-01,35.85
1893-09-01,37.85
1893-10-01,38.47
1893-11-01,39.22
1893-12-01,38.08
1894-01-01,37.31
1894-02-01,37.80
1894-03-01,38.90
1894-04-01,39.22
1894-05-01,37.63
1894-06-01,36.95
1894-07-01,36.33
1894-08-01,37.68
1894-09-01,38.53
1894-10-01,37.32
1894-11-01,37.22
1894-12-01,36.77
1895-01-01,36.26
1895-02-01,35.73
1895-03-01,35.45
1895-04-01,36.93
1895-05-01,38.86
1895-06-01,39.77
1895-07-01,40.42
1895-08-01,41.05
1895-09-01,41.38
1895-10-01,40.85
1895-11-01,39.50
1895-12-01,37.14
1896-01-01,36.62
1896-02-01,38.10
1896-03-01,37.29
1896-04-01,37.67
1896-05-01,37.51
1896-06-01,37.00
1896-07-01,34.90
1896-08-01,33.07
1896-09-01,34.54
1896-10-01,35.22
1896-11-01,37.18
1896-12-01,36.18
1897-01-01,36.09
1897-02-01,35.65
1897-03-01,35.81
1897-04-01,34.68
1897-05-01,34.84
1897-06-01,36.45
1897-07-01,37.85
1897-08-01,40.39
1897-09-01,42.21
1897-10-01,41.13
1897-11-01,39.73
1897-12-01,40.77
1898-01-01,41.72
1898-02-01,41.52
1898-03-01,39.63
1898-04-01,38.77
1898-05-01,41.16
1898-06-01,42.66
1898-07-01,42.67
1898-08-01,44.47
1898-09-01,44.65
1898-10-01,43.78
1898-11-01,44.73
1898-12-01,47.26
1899-01-01,51.25
1899-02-01,53.25
1899-03-01,53.07
1899-04-01,53.81
1899-05-01,51.90
1899-06-01,51.14
1899-07-01,53.08
1899-08-01,54.30
1899-09-01,53.69
1899-10-01,53.42
1899-11-01,54.52
1899-12-01,51.78
1900-01-01,52.30
1900-02-01,53.43
1900-03-01,54.77
1900-04-01,55.79
1900-05-01,53.57
1900-06-01,52.23
1900-07-01,51.95
1900-08-01,52.45
1900-09-01,51.53
1900-10-01,53.29
1900-11-01,56.90
1900-12-01,61.06
1901-01-01,63.93
1901-02-01,66.01
1901-03-01,68.29
1901-04-01,74.36
1901-05-01,71.47
1901-06-01,78.33
1901-07-01,72.17
1901-08-01,73.93
1901-09-01,74.44
1901-10-01,74.84
1901-11-01,77.86
1901-12-01,76.72
1902-01-01,77.94
1902-02-01,78.52
1902-03-01,78.62
1902-04-01,81.64
1902-05-01,81.95
1902-06-01,82.25
1902-07-01,85.32
1902-08-01,87.91
1902-09-01,88.01
1902-10-01,85.11
1902-11-01,81.89
1902-12-01,80.29
1903-01-01,84.23
1903-02-01,82.75
1903-03-01,78.98
1903-04-01,75.56
1903-05-01,74.35
1903-06-01,70.38
1903-07-01,68.43
1903-08-01,66.42
1903-09-01,65.50
1903-10-01,64.09
1903-11-01,64.35
