observation_date,M13002US35620M156NNBR
1964-10-01,4.00
1964-11-01,4.02
1964-12-01,4.17
1965-01-01,4.25
1965-02-01,4.27
1965-03-01,4.38
1965-04-01,4.38
1965-05-01,4.38
1965-06-01,4.38
1965-07-01,4.38
1965-08-01,4.38
1965-09-01,4.38
1965-10-01,4.38
1965-11-01,4.38
1965-12-01,4.65
1966-01-01,4.82
1966-02-01,4.88
1966-03-01,5.21
1966-04-01,5.38
1966-05-01,5.39
1966-06-01,5.51
1966-07-01,5.63
1966-08-01,5.85
1966-09-01,5.89
1966-10-01,6.00
1966-11-01,6.00
1966-12-01,6.00
1967-01-01,5.73
1967-02-01,5.38
1967-03-01,5.24
1967-04-01,4.83
1967-05-01,4.67
1967-06-01,4.65
1967-07-01,4.92
1967-08-01,5.00
1967-09-01,5.00
1967-10-01,5.07
1967-11-01,5.28
1967-12-01,5.56
1968-01-01,5.60
1968-02-01,5.50
1968-03-01,5.64
1968-04-01,5.81
1968-05-01,6.18
1968-06-01,6.25
1968-07-01,6.19
1968-08-01,5.88
1968-09-01,5.82
1968-10-01,5.80
1968-11-01,5.92
1968-12-01,6.17
1969-01-01,6.53
1969-02-01,6.62
1969-03-01,6.82
1969-04-01,7.04
1969-05-01,7.35
1969-06-01,8.23
1969-07-01,8.65
1969-08-01,8.33
1969-09-01,8.48
1969-10-01,8.56
1969-11-01,8.46
1969-12-01,8.84
1970-01-01,8.78
1970-02-01,8.55
1970-03-01,8.33
1970-04-01,8.06
1970-05-01,8.23
1970-06-01,8.21
1970-07-01,8.29
1970-08-01,7.90
1970-09-01,7.32
1970-10-01,6.85
1970-11-01,6.30
1970-12-01,5.73
1971-01-01,5.11
1971-02-01,4.47
1971-03-01,4.19
1971-04-01,4.57
1971-05-01,5.10
1971-06-01,5.45
1971-07-01,5.75
1971-08-01,5.73
1971-09-01,5.75
1971-10-01,5.54
1971-11-01,4.92
1971-12-01,4.74
